№; листа,имя файла,Место хранения гербарного листа,Вид,Административное деление,Территориальное деление,Территориальное деление № 2,Экологические условия,Экологические условия,,Почвенные условия,Дата сбора,Кто собрал,N,E
num,image,source,species,region,district,place,,,forest_type,soil_type,collection_date,collectors,latitude,longitude
,DSC02921,БСИ,Rh dahuricum,Забайкальский край,Читинская область,перев.Мензы-Чикоя,,,смешанный лес,,13.07.2006,"А.В.Галанин,А.В.Беликович","49,865627","109,23709"
,DSC02922,БСИ,Rh dahuricum,Забайкальский край,Дульдургинский район,Алханай,,,смешанный лес,,10.07.2009,Долгалева,"50,886512","113,420291"
,DSC02923,БСИ,Rh mucronulatum,приморский край,Владивосток,басс.р.Большая Седанка,,,дубняк,склон горы,12.06.1999,В.П.Верхолат,"43,211148","131,97752"
,DSC02924,БСИ,Rh mucronulatum,приморский край,Владивосток,верш.хреб.Березового басс.р.Богатой,,,дубняк,,14.06.1999,В.П.Верхолат,"43,255114","132,141339"
,DSC02925,БСИ,Rh mucronulatum,приморский край,Ханкайский район,сев.склон в долине реки Комиссарово,,,дубняк,скальные выходы,19.06.2005,,"44,973713","131,766608"
,DSC02926,БСИ,Rh mucronulatum,приморский край,Хасанский район,водоразд.Л.Грязная и Ананьевка,,,смешанный лес,,17.09.2015,Пименова Е.А.Нестерова С.В.,"43,3938","131,483615"
,DSC02927,БСИ,Rh mucronulatum,приморский край,Хасанский район,водоразд.Л.Грязная и Ананьевка,,,смешанный лес,,17.09.2015,"Пименова,Нестерова,Петруненко","43,3938","131,483615"
,DSC02928,БСИ,Rh mucronulatum,приморский край,Хасанский район,водоразд.Л.Грязная и Ананьевка,,,смешанный лес,,17.09.2015,"Пименова,Нестерова,Петруненко","43,388038","131,498727"
,DSC02929,БСИ,Rh mucronulatum,приморский край,Хасанский район,водоразд.Л.Грязная и Ананьевка,,,смешанный лес,,17.09.2015,"Пименова,Нестерова,Петруненко","43,3938","131,483615"
,DSC02930,БСИ,Rh mucronulatum,приморский край,Хасанский район,"р.Амба,руч.Рыбий",,,дубняк,скальные выходы,07.07.2015,"Колдаева,Калинкина,Пименова","43,329716","131,425254"
,DSC02931,БСИ,Rh mucronulatum,приморский край,Хасанский район,"р.Амба,руч.Рыбий",,,дубняк,скальные выходы,07.07.2015,"Колдаева,Калинкина,Пименова","43,239716","131,425254"
,DSC02932,БСИ,Rh mucronulatum,приморский край,Хасанский район,"р.Амба,руч.Рыбий",,,дубняк,скальные выходы,07.07.2015,"Колдаева,Калинкина,Пименова","43,329716","131,425254"
